名前	読み	生年月日	出身地	血液型
桜井和寿	さくらいかずとし	1970-03-08	東京都	O型
田原健一	たはらけんいち	1969-09-24	福岡県	O型
中川敬輔	なかがわけいすけ	1969-08-26	長崎県	A型
鈴木英哉	すずきひでや	1969-11-14	東京都	A型
